Date,Open,High,Low,Close,Adj Close,Volume
2016-06-29,677.500000,704.500000,676.000000,704.500000,662.186035,8096154
2016-06-30,700.000000,718.500000,693.500000,711.500000,668.765564,9077317
2016-07-01,714.000000,718.000000,704.505005,711.500000,668.765564,8366368
2016-07-04,714.000000,718.500000,703.000000,706.500000,664.065979,3664233
2016-07-05,708.500000,717.500000,695.000000,711.000000,668.295654,8809763
2016-07-06,709.500000,717.500000,694.500000,699.000000,657.016357,8028738
2016-07-07,706.000000,733.000000,701.500000,728.500000,684.744568,6360379
2016-07-08,724.500000,736.000000,723.500000,735.000000,690.854065,5365458
2016-07-11,736.000000,738.000000,716.000000,724.000000,680.514771,6232238
2016-07-12,721.500000,726.500000,712.000000,724.000000,680.514771,7141626
2016-07-13,724.000000,755.500000,649.168030,746.500000,701.663513,8041070
2016-07-14,748.000000,749.500000,730.500000,746.500000,701.663513,4311859
2016-07-15,744.000000,752.500000,736.000000,744.500000,699.783508,4713980
2016-07-18,744.000000,748.500000,734.000000,738.000000,693.674011,2854106
2016-07-19,736.000000,742.000000,729.500000,739.500000,695.083923,3591999
2016-07-20,742.500000,746.500000,734.000000,743.000000,698.373657,2854593
2016-07-21,743.000000,748.500000,736.500000,744.000000,699.313599,3164837
2016-07-22,741.000000,743.500000,719.000000,720.500000,677.225037,3903142
2016-07-25,715.000000,726.500000,708.109985,718.000000,674.875244,5793219
2016-07-26,721.000000,736.500000,716.500000,727.000000,683.334534,3836800
2016-07-27,728.500000,747.500000,728.500000,732.000000,688.034363,3564757
2016-07-28,755.000000,875.500000,755.000000,831.000000,781.088196,18532279
2016-07-29,824.500000,827.500000,791.000000,791.000000,743.490662,11845453
2016-08-01,790.000000,803.219971,780.000000,791.500000,743.960510,3780307
2016-08-02,789.000000,809.500000,754.500000,760.500000,714.822571,5893690
2016-08-03,761.000000,769.000000,746.000000,751.000000,705.893250,7117592
2016-08-04,755.500000,767.500000,739.000000,757.500000,712.002747,6019682
2016-08-05,750.000000,760.000000,738.000000,759.000000,713.412659,5879732
2016-08-08,763.500000,769.000000,756.348999,756.500000,711.062805,4716544
